codigo_truper,pagina_catalogo,clave_ground_truth,descripcion_ground_truth,marca_ground_truth,anterior_clave,anterior_clave_exacta,anterior_descripcion,anterior_descripcion_exacta,anterior_descripcion_normalizada,anterior_descripcion_similitud,anterior_descripcion_similar,anterior_marca,anterior_precio_publico,anterior_confianza,anterior_clave_confianza,anterior_revision,nuevo_clave,nuevo_clave_exacta,nuevo_descripcion,nuevo_descripcion_exacta,nuevo_descripcion_normalizada,nuevo_descripcion_similitud,nuevo_descripcion_similar,nuevo_marca,nuevo_precio_publico,nuevo_confianza,nuevo_clave_confianza,nuevo_revision
46245,410,AD-RP,"Adaptador barra redonda a plana, VOLTECK",VOLTECK,A-#P,false,"Adaptadores de clavija, 127 ) 10",false,false,0.5000,false,,16,baja,BAJA,true,AD-RP,true,"Adaptadores de clavija, 127 V 10",false,false,0.4839,false,,16,alta,ALTA,false
46253,410,AD-32N,"Bolsa con 2 adaptadores 3 a 2 naranjas, VOLTECK",VOLTECK,A-32,false,"Adaptadores 3 a 2, .D.>:.",false,false,0.6316,true,,29,alta,ALTA,false,AD-32N,true,"Adaptadores 3 a 2, Naranja",false,false,0.7937,true,,29,alta,ALTA,false
46595,418,SEMO-AL,"Sensor de movimiento con alarma y timbre, VOLTECK",VOLTECK,SEMO-AL,true,,false,false,0.0000,false,,225,media,ALTA,true,SEMO-AL,true,,false,false,0.0000,false,,225,media,ALTA,true
46809,410,MUL-330,"Multicontacto triple, tipo bisagra VOLTECK",VOLTECK,U-330,false,Multicontactos triples tipo bisagra,false,false,0.9706,true,,39,alta,ALTA,false,MUL-330,true,Multicontactos triples tipo bisagra,false,false,0.9706,true,,39,alta,ALTA,false
46812,410,MUL-340,"Multicontacto triple,tipo bisagra,entradas laterales VOLTECK",VOLTECK,U-340,false,Multicontactos triples tipo bisagra,false,false,0.7586,true,,29,alta,ALTA,false,MUL-340,true,Multicontactos triples tipo bisagra,false,false,0.7586,true,,29,alta,ALTA,false
47231,418,SEMO-EX,"Sensor de movimiento para exterior, VOLTECK",VOLTECK,SEMO-EX,true,,false,false,0.0000,false,,200,media,ALTA,true,SEMO-EX,true,,false,false,0.0000,false,,200,media,ALTA,true
47980,573,TRANS-CEM,"Transformador para cerradura electromecánica, HERMEX",HERMEX,TRANS-CEM,true,electromecánicas de sobreponer llave de puntos,false,false,0.3333,false,,2125,alta,ALTA,false,TRANS-CEM,true,"electromecánicas de sobreponer llave de puntos, NA",false,false,0.3226,false,,355,alta,ALTA,false
48023,402,ALHU-132,"Detector de humo con alarma, VOLTECK",VOLTECK,ALHU-132,true,Detector de humo con alarma,false,true,1.0000,true,,255,alta,ALTA,false,ALHU-132,true,Detector de humo con alarma,false,true,1.0000,true,,255,alta,ALTA,false
49093,573,CD-26,"Cerrojo Digital tubular color negro, HERMEX",HERMEX,CD-26,true,,false,false,0.0000,false,,2125,media,ALTA,true,CD-26,true,,false,false,0.0000,false,,2125,media,ALTA,true
49381,557,COLCA-55,"Bolsa con 100 colgadores de 55 mm tipo caimán, FIERO",FIERO,COLCA-55,true,"Bolsa con 100 colgadores tipo caimán, __ ==",false,false,0.8889,true,,123,alta,ALTA,false,COLCA-55,true,"Bolsa con 100 colgadores tipo caimán, 55 mm",false,false,0.8276,true,,123,alta,ALTA,false
49382,557,COLCA-65,"Bolsa con 100 colgadores de 65 mm tipo caimán, FIERO",FIERO,COLCA-65,true,"Bolsa con 100 colgadores tipo caimán, `_ ==",false,false,0.8889,true,,165,alta,ALTA,false,COLCA-65,true,"Bolsa con 100 colgadores tipo caimán, 65 mm",false,false,0.8276,true,,165,alta,ALTA,false
49383,557,COLCA-75,"Bolsa con 100 colgadores de 75 mm tipo caimán, FIERO",FIERO,COCA-75,false,"Bolsa con 100 colgadores tipo caimán, a_ ==",false,false,0.8675,true,,204,alta,ALTA,false,COLCA-75,true,"Bolsa con 100 colgadores tipo caimán, 75 mm",false,false,0.8276,true,,204,alta,ALTA,false
49879,508,CV-611,"Adaptador PPR 1/2"" macho con inserto metálico, FOSET",FOSET TERMOFLOW,C)-611,false,,false,false,0.0000,false,,51,baja,BAJA,true,CV-611,true,"Adaptadores con inserto de latón niquelado Tees, 1⁄2"" i⁄t 20 mm 10 180",false,false,0.4464,false,,51,alta,ALTA,false
49880,508,CV-612,"Adaptador PPR 3/4"" macho con inserto metálico, FOSET",FOSET TERMOFLOW,C)-612,false,,false,false,0.0000,false,,76,baja,BAJA,true,CV-612,true,"Adaptadores con inserto de latón niquelado Tees, 3⁄v"" k⁄v 25 mm 10 130",false,false,0.4464,false,,76,alta,ALTA,false
49881,508,CV-613,"Adaptador PPR 1"" macho con inserto metálico, FOSET",FOSET TERMOFLOW,C)-613,false,,false,false,0.0000,false,,180,baja,BAJA,true,CV-613,true,"Adaptadores con inserto de latón niquelado Tees, 1"" 1 32 mm 10 80",false,false,0.4762,false,,180,alta,ALTA,false
49885,508,CV-601,"Adaptador PPR 1/2"" hembra con inserto metálico, FOSET",FOSET TERMOFLOW,C)-601,false,,false,false,0.0000,false,,42,baja,BAJA,true,CV-601,true,"Adaptadores con inserto de latón niquelado Tees, 1⁄2"" i⁄t 20 mm 10 230",false,false,0.4602,false,,42,alta,ALTA,false
55850,590,BODE-6,"Bomba destapacaños de 15 cm, KLINTEK",KLINTEK,,false,,false,false,0.0000,false,,,baja,BAJA,true,BODE-6,true,destapacaños,false,false,0.6154,true,,72,alta,ALTA,false
56030,590,LIDE-94,"Líquido destapacaños de 1 L, KLINTEK",KLINTEK,,false,,false,false,0.0000,false,,,baja,BAJA,true,LIDE-94,true,Líquido destapacaños,false,false,0.8511,true,,129,alta,ALTA,false
56037,590,BODE-4,"Bomba destapacaños para lavabo, 10 cm,KLINTEK",KLINTEK,,false,,false,false,0.0000,false,,,baja,BAJA,true,BODE-4,true,destapacaños,false,false,0.5000,false,,39,alta,ALTA,false
56153,590,EA-10H,"Shampoo alta espuma para hidrolavadora, 1 L, KLINTEK",KLINTEK,EA-10H,true,,false,false,0.0000,false,,225,media,ALTA,true,EA-10H,true,,false,false,0.0000,false,,225,media,ALTA,true
57029,590,CESA-14,"Cepillo sanitario de plástico con base, KLINTEK",KLINTEK,,false,,false,false,0.0000,false,,,baja,BAJA,true,CESA-14,true,Cepillo sanitario con base,false,false,0.8125,true,,46,alta,ALTA,false
57084,590,EA-10,"Shampoo para auto, 473 ml, KLINTEK",KLINTEK,EA-10,true,"Shampoo para autos, ^a] =l",false,false,0.8696,true,,66,alta,ALTA,false,EA-10,true,"Shampoo para autos, ^a] =l",false,false,0.8696,true,,66,alta,ALTA,false
57094,590,EA-51,"Líquido protector de vinil, 240 ml, KLINTEK",KLINTEK,A-51,false,"Líquidos protectores de vinil, \^Y =l",false,false,0.8788,true,,55,alta,ALTA,false,EA-51,true,"Líquidos protectores de vinil, \^Y =l",false,false,0.8788,true,,55,alta,ALTA,false
57095,590,EA-52,"Líquido protector de vinil, 960 ml, KLINTEK",KLINTEK,A-52,false,"Líquidos protectores de vinil, c`Y =l",false,false,0.8529,true,,130,alta,ALTA,false,EA-52,true,"Líquidos protectores de vinil, c`Y =l",false,false,0.8529,true,,130,alta,ALTA,false
59988,598,PAPE-60,Panel perfocel 60 x 60 cm TRUPER,TRUPER,PAPE-60,true,"Paneles Caja con 100 candados para gancho exhibidor y llave, 60 × 60 cm",false,false,0.4301,false,,700,alta,ALTA,false,PAPE-60,true,"Paneles Caja con 100 candados para gancho exhibidor y llave, 60 × 60 cm",false,false,0.4301,false,,700,alta,ALTA,false
59990,598,PAPE-240,Panel perfocel 120 x 240 cm TRUPER,TRUPER,PAPE-240,true,"Paneles Caja con 100 candados para gancho exhibidor y llave, 120 × 240 cm",false,false,0.4536,false,,4500,alta,ALTA,false,PAPE-240,true,"Paneles Caja con 100 candados para gancho exhibidor y llave, 120 × 240 cm",false,false,0.4536,false,,4500,alta,ALTA,false
59991,598,PARA-60,Panel ranurado 60 x 60 cm TRUPER,TRUPER,PARA-60,true,"Llave magnética para candado CANGA-100, 60 × 60 cm",false,false,0.5278,false,,650,alta,ALTA,false,PARA-60,true,"Llave magnética para candado CANGA-100, 60 × 60 cm",false,false,0.5278,false,,650,alta,ALTA,false
59992,598,PARA-80,Panel ranurado 80 x 80 cm TRUPER,TRUPER,PARA-80,true,"Llave magnética para candado CANGA-100, 80 × 80 cm",false,false,0.5278,false,,900,alta,ALTA,false,PARA-80,true,"Llave magnética para candado CANGA-100, 80 × 80 cm",false,false,0.5278,false,,900,alta,ALTA,false
59993,598,PARA-240,Panel ranurado 120 x 240 cm TRUPER,TRUPER,PARA-240,true,"Llave magnética para candado CANGA-100, 120 × 240 cm",false,false,0.5526,false,,4000,alta,ALTA,false,PARA-240,true,"Llave magnética para candado CANGA-100, 120 × 240 cm",false,false,0.5526,false,,4000,alta,ALTA,false
